transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
d.na-ap-pi-ib-ba-na,nE,god-PL-GEN,naappiibbana,,,noun,,Pl.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#690000"">ib</font>-<font color=""#9b0000"">ba</font>-na</qt>",,-na
na-a-su-uk-ki,mE,,naasuukki,,,noun,,,,"<qt>na-<font color=""#690000"">a</font>-<font color=""#690000"">su</font>-<font color=""#9b0000"">uk</font>-<font color=""#690000"">ki</font></qt>",,
na-áš.lg,"mE, nE, achE",naš,naas~,,,noun,,,,"<qt>na-<font color=""#9b0000"">áš</font>.<font color=""#690000"">lg</font></qt>",,
hh.na-áš-ir-man-nu-ip,achE,Nasirma-PL,naas~irmannuip,1,,noun,h.na-áš-ir-man-nu,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">hh</font>.na-<font color=""#9b0000"">áš</font>-ir-<font color=""#690000"">man</font>-nu-<font color=""#690000"">ip</font></qt>",,
h.na-ba-ir-ra,nE,,nabairra,,,noun,,,,"<qt><font color=""#c30000"">h</font>.na-<font color=""#9b0000"">ba</font>-ir-<font color=""#690000"">ra</font></qt>",,
na-ba-iš,nE,,nabais~,,,noun,,,,"<qt>na-<font color=""#9b0000"">ba</font>-iš</qt>",,
na-ba-pa-ti,nE,,nabapati,,,noun,,,,"<qt>na-<font color=""#9b0000"">ba</font>-<font color=""#690000"">pa</font>-<font color=""#690000"">ti</font></qt>",,
na-bí-ip,oE,god-PL,nabiip,1,,noun,,,,"<qt>na-<font color=""#d50000"">bí</font>-<font color=""#690000"">ip</font></qt>",,
na-ha-an-ti-e,mE,,nahaantie,,,noun,nah-ha-an-ti-ni,,,"<qt>na-<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">e</font></qt>",,
na-ha-tik-me,oE,,nahatikme,,,noun,,,,"<qt>na-<font color=""#690000"">ha</font>-<font color=""#00ff00"">tik</font>-<font color=""#9b0000"">me</font></qt>",,
na-ik.pi-ni-ip,achE,,naikpiniip,,,noun,,,,"<qt>na-<font color=""#c30000"">ik</font>.<font color=""#de0000"">pi</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">ip</font></qt>",,
na-iš,achE,naš,nais~,,,noun,na-áš.lg,,,<qt>na-iš</qt>,,
na-iz-be,nE,,naizbe,,,noun,,,,"<qt>na-<font color=""#b40000"">iz</font>-<font color=""#de0000"">be</font></qt>",,
hh.na-mar-qa-ra,achE,nāvarakara,namarqara,,nāvarakara,noun,hh.na-um-mar-ra-kur-ráš-be,,,"<qt><font color=""#9b0000"">hh</font>.na-<font color=""#9b0000"">mar</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ra</font></qt>",,
na-me-lu-uk-ra,mE,,nameluukra,,,noun,na-a.me-lu-uk-ra,,,"<qt>na-<font color=""#9b0000"">me</font>-<font color=""#690000"">lu</font>-<font color=""#9b0000"">uk</font>-<font color=""#690000"">ra</font></qt>",,
na-mi-qa?-ra?-an?-na,achE,nāmikāra-na,namiqaraanna,,nāmikāra,noun,,,,"<qt>na-mi-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#690000"">ra</font>-<font color=""#c30000"">an</font>-na</qt>",,-na
2.na-na,nE,day+,nana,1,,noun,2.na-an,,,<qt>na-na</qt>,,
nap,"oE, mE, nA, achE",god,nap,1,,noun,hh.nap-šil-la,,,"<qt><font color=""#690000"">nap</font></qt>",,
d.na-pan-na,achE,god-PL-GEN,napanna,,,noun,d.na-ap-pan-na,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">pan</font>-na</qt>",,-na
d.na-pi,achE,,napi,,,noun,"d.na-pi-na, d.na-ap-pi",,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#de0000"">pi</font></qt>",,
na-pu-ri,nE,god-1SG-3SG.AGR,napuri,1,,noun,na-pír.ú-ri,,,"<qt>na-<font color=""#9b0000"">pu</font>-<font color=""#9b0000"">ri</font></qt>",,
NÍG.KA9.lg,nE,reckoning,nigkalg,,nikkassu,noun,mu-ši-in,,,"<qt><font color=""#c30000"">NÍG</font>.<font color=""#b40000"">KA<sub><small>9</small></sub></font>.<font color=""#690000"">lg</font></qt>",,
GIŠ.ni-hi.lg,nE,,nihi,,,noun,,,,"<qt><font color=""#b40000"">GIŠ</font>.<font color=""#c30000"">ni</font>-<font color=""#c30000"">hi</font>.<font color=""#690000"">lg</font></qt>",,
ni-hu-pa-e,nE,inhabitant?-PL-3SG.POSS,nihupae,1,,noun,,,,"<qt><font color=""#c30000"">ni</font>-<font color=""#d50000"">hu</font>-<font color=""#690000"">pa</font>-<font color=""#690000"">e</font></qt>",,
ni?-in-ri,nE,be-ACT.PTCP-3SG.AGR,niinri,,,noun,,Sg.,3rd Anim.,"<qt><font color=""#c30000"">ni</font>-in-<font color=""#9b0000"">ri</font></qt>",,
ni-iš.lg,achE,nīšu,niis~,,nīšu,noun,,,,"<qt><font color=""#c30000"">ni</font>-iš.<font color=""#690000"">lg</font></qt>",,
ni-me-te,oE,,nimete,,,noun,,,,"<qt><font color=""#c30000"">ni</font>-<font color=""#9b0000"">me</font>-te</qt>",,
ni?-mi?-na-tap?-ma?,achE,,niminatapma,,,noun,,,,"<qt><font color=""#c30000"">ni</font>-mi-na-<font color=""#690000"">tap</font>-<font color=""#b40000"">ma</font></qt>",month,
NIM.ir-ra,nE,Elam-SG,nimirra,,,noun,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">NIM</font>.ir-<font color=""#690000"">ra</font></qt>",,
ni-na,achE,,nina,,,noun,ni-na-na,,,"<qt><font color=""#c30000"">ni</font>-na</qt>",,
