transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
v.bar-sìp-ik-ki,achE,Persian-PL-at,barsipikki,,,,,,,,,
v.ma-da-be-ik-ki,achE,Median-PL-at,madabeikki,,,,,,,,,
hu-pír-ri-ik-ki,achE,that-SG-at,hupirriikki,,,,,,,,,
v.ha-tam5-tup-ik-ki,achE,Elamite-PL-at,hatamtupikki,,,,,,,,,
hu-pír-ri-ik-qa,achE,that-SG-at,hupirriikqa,,,,,,,,,
maš-qa-um-ma,achE,hide-LOC,mas~qaumma,,,,,,,,,
v.LÚ.lg-ir-ra,achE,man-each,lgirra,,,,,,,,,
v.bar-sìp-ik-qa,achE,Persian-PL-at,barsipikqa,,,,,,,,,
h.ul-hi.lg-mi,achE,residence-'th,ulhimi,,,,,,,,,
in-su-da-man,achE,3SG.ACC-ask-1SG-man,insudaman,,,,,,,,,
2.f.ir-da-ba-ma-na,achE,Rtabāma-GEN,irdabamana2,,,,,,,,,
gal-lu-ma,achE,gal-LOC,galluma,,,,,,,,,
17-na,achE,17-'th,1na,,,,,,,,,
16-na,achE,16-'th,1na,,,,,,,,,
i-ha-ra-an,oE,3SG-pressure?,iharaan,,,,,,,,,
d.sa-a-kur-iz-zí-iš-ma,achE,ϴaigračiš-LOC,saakurizziis~ma,,,,,,,,,
17-um-me-man,achE,17-'th,1ummeman,,,,,,,,,
17-um-me,achE,17-'th,1umme,,,,,,,,,
4.17-um-me-man-na,achE,17-'th,1ummemanna4,,,,,,,,,
hh.na-ni-ti-in-ik-qa-mar,achE,Nanâ-iddin-at-ABL,nanitiinikqamar,,,,,,,,,
hh.na-ni-ti-in-ik-qa,achE,Nanâ-iddin-at,nanitiinikqa,,,,,,,,,
2.hh.na-ni-ti-in-ik-qa-mar,achE,Nanâ-iddin-at-ABL,nanitiinikqamar2,,,,,,,,,
h.qa-ap-nu-iš-ki-ma,achE,treasury-LOC,gaapnuis~kima,,,,,,,,,
2.tu-ra-ma-ráš-na,achE,ϑūravāhara-š-GEN,duramaras~na2,,,,,,,,,
hh.ma-ra-za-ik-ki-mar,achE,Varāza-at-ABL,marazaikkimar,,,,,,,,,
hh.ma-ra-za-ik-ki,achE,Varāza-at,marazaikki,,,,,,,,,
2.hh.ma-ra-za-ik-ki-mar,achE,Varāza-at-ABL,marazaikkimar2,,,,,,,,,
in-ka-ak-pa-h,mE,3SG.ACC-ITER~include-1SG,inkaakpah,,,,,,,,,
si-ya-an-ku-uk-pa-me,mE,sanctum-3PL.AGR-INANIM.AGR,siyaankuukpame,,,,,,,,,
d.A.MAL,oE,Amba,amal,,,,,,,,,
d.nin-urta,oE,Ninurta,ninurta,,,,,,,,,
